codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
221097,202503,504,333737,663.49
221100,202503,95653,62580855,654.86
221110,202503,9602,6594440,686.85
221120,202503,4288,2937300,689.51
221130,202503,3291,2163300,657.54
221135,202503,1474,993242,674.3
221140,202503,1167,750279,642.91
221150,202503,677,437152,645.72
221160,202503,572,359118,627.83
221170,202503,1038,685948,660.84
230010,202503,2056,1386708,674.47
230015,202503,2948,1984203,673.07
230020,202503,14117,9517166,674.4
230030,202503,9116,5936735,651.82
230040,202503,3254,2162646,665.02
230050,202503,1379,917085,665.52
230060,202503,1736,1159661,671.1
230070,202503,2698,1760391,652.48
230075,202503,9034,6225621,689.74
230080,202503,2139,1410144,659.56
230090,202503,3449,2264372,656.53
230100,202503,15415,10153675,659.03
230110,202503,9595,6078843,636.39
230120,202503,5268,3382524,642.45
230125,202503,2367,1537603,649.6
230130,202503,4157,2816881,679.42
230140,202503,2439,1593811,653.74
230150,202503,1004,678480,675.78
230160,202503,5142,3328868,648.27
230170,202503,4293,2804499,653.73
230180,202503,1169,778687,666.11
230185,202503,3258,2190062,672.62
230190,202503,9306,6181227,667.01
230195,202503,4675,3172050,678.95
230200,202503,3801,2476752,652.46
230205,202503,3749,2530612,675.01
230210,202503,7285,4777341,655.78
230220,202503,11389,7421205,652.18
230230,202503,5734,3837153,669.19
230240,202503,9702,6296895,649.97
230250,202503,7706,5125963,665.45
230260,202503,11262,7511905,667.31
230270,202503,4116,2753817,669.05
230280,202503,15754,10487407,666.08
230290,202503,3676,2455331,667.94
230300,202503,4301,2898849,674.15
230310,202503,3210,2124507,661.84
230320,202503,5711,3848453,674.34
230330,202503,3359,2194337,654.24
230340,202503,2838,1911263,673.69
230350,202503,13904,9076587,653.6
230360,202503,2011,1363935,678.57
230365,202503,2720,1786820,656.92
230370,202503,63126,42175187,668.38
230380,202503,4245,2793401,658.04
230390,202503,2571,1716878,667.79
230393,202503,2536,1699771,671.32
230395,202503,3993,2632451,659.27
230400,202503,4661,3078577,660.64
230410,202503,10357,6947739,670.83
230420,202503,20687,13478328,652.26
230423,202503,3561,2375485,667.65
230425,202503,5548,3764815,678.71
230426,202503,1676,1069434,638.09
230427,202503,1057,712005,674.89
230428,202503,7135,4608604,648.83
230430,202503,3399,2270435,667.97
230435,202503,3581,2317798,647.25
230440,202503,319640,206436772,646.73
230445,202503,2868,1871042,652.39
230450,202503,2788,1877339,674.57
230460,202503,1713,1163835,679.41
230465,202503,2926,1972773,674.22
230470,202503,9812,6615526,675.19
230480,202503,1055,706013,669.21
230490,202503,1709,1085572,635.21
230495,202503,4308,2829905,656.9
230500,202503,8224,5705208,693.98
230510,202503,1095,733224,670.22
230520,202503,3586,2420511,675.93
230523,202503,8025,5200798,648.48
230526,202503,2781,1917572,689.77
230530,202503,3964,2802410,706.97
230533,202503,3182,2051792,645.01
230535,202503,3313,2123877,641.46
230540,202503,12228,8123480,664.5
230550,202503,15601,10219360,656.05
230560,202503,5133,3413554,665.02
230565,202503,2225,1438398,646.47
230570,202503,2421,1609719,665.45
230580,202503,9955,6669869,670.0
230590,202503,7196,4840702,672.79
230600,202503,2330,1542950,662.21
230610,202503,5754,3905891,678.93
230620,202503,1344,865192,643.74
230625,202503,8172,5355229,657.49
230630,202503,8750,5806408,663.97
230640,202503,22236,15327480,693.14
230650,202503,4085,2744604,671.87
230655,202503,9794,6746149,688.87
